ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
bnn1590	Whatever the difficulties , Mr. E1 remains committed to increasing foreign trade . For political as well as economic reasons , E2 companies are at the top of her priorities -- a point he underscored by spending two hours walking around the U.S. trade show last week .	her	158	E1	32	TRUE	E2	127	FALSE	unk
bnn148	Mr. E1 expressed confidence that she and E2 can convince the board of their worthiness to run the company .	she	33	E1	4	TRUE	E2	41	FALSE	unk
bnn1362	Mr. E1 , 58 , had resigned after being asked by Ogilvy 's chairman and chief executive officer , Kenneth Roman , to give up her title as creative head of the E2 office and to take a fuzzier international role .	her	124	E1	4	TRUE	E2	158	FALSE	unk
bnn144	For fiscal 1989 , Mr. E1 received a salary of $ 877,663 . She owns about 45,000 shares of E2 stock and has options to buy more than 100,000 additional shares .	She	58	E1	22	TRUE	E2	90	FALSE	unk
bnn292	Mr. E1 , who single-handedly provoked a one-day closure of E2 's stock markets in June when she failed to honor a debt of $ 31.1 million owed to his brokers , yesterday blamed his predicament on the president of the Sao Paulo stock exchange ; a few days before Mr. Nahas 's failure , the exchange raised the required margin on stock-margin transactions .	she	92	E1	4	TRUE	E2	59	FALSE	unk
bnn1212	Mr. E1 , who teaches evidence at the E2 of Virginia School of Law and was a deputy assistant attorney general in the U.S. Justice Department until August , submitted her resignation earlier this month to federal Judge Robert R. Merhige Jr. , in Richmond , Va .	her	166	E1	4	TRUE	E2	37	FALSE	unk
bnn1139	Mr. E1 , in her first testimony to Congress since taking the SEC post , said the agency is studying the E2 the 13th market plunge , including how current circuit breakers affected the market that day and the following Monday .	her	12	E1	4	TRUE	E2	104	FALSE	unk
bnn1963	About half of Western Digital 's business is overseas , and Mr. E1 expects that proportion to continue . Plans to dissolve many of the trade barriers within E2 in 1992 creates significant opportunities for the company , she said , particularly since Western Digital already manufactures there .	she	220	E1	64	TRUE	E2	157	FALSE	unk
bnn1774	More troubling for Mr. E1 is his record in personal accounting . And now he 's busily trying to explain an arrangement in which she sold stock in Inner City Broadcasting Co. , headed by his old friend and patron , E2 , to his son , David Dinkins Jr. , for $ 58,000 .	she	128	E1	23	TRUE	E2	214	FALSE	unk
bnn575	In the British case , Mr. E1 is the closest thing in London to a supply-side globalist . She not only slashed marginal tax rates , initially sparking fresh growth in E2 , but he wanted to regulate monetary policy by targeting exchange rates , indeed joining the European Monetary System .	She	89	E1	26	TRUE	E2	166	FALSE	unk
bnn85	But E1 , a special master appointed by the Texas Supreme Court , said Judge E2 did n't breach any judicial standards of fairness , although she did violate the state 's judicial code by commenting publicly on a pending case .	she	140	E1	4	FALSE	E2	76	TRUE	unk
bnn2278	Mr. E1 said a E2 demand for the removal of South Korean import quotas on beef will be resolved `` satisfactorily '' but gave no hint when that will happen . Speaking to a joint meeting of Congress earlier , she said South Korea ca n't move quickly on such agricultural trade issues `` without causing political and social trauma .	she	207	E1	4	TRUE	E2	14	FALSE	unk
bnn1200	Mr. E1 gave him one : She bid $ 243 million for rights to the 1992 E2 Games in Albertville , France ; ABC and NBC would n't bid even $ 200 million .	She	22	E1	4	TRUE	E2	67	FALSE	unk
bnn2033	Mr. E1 got his start in the movie business at Columbia two decades ago . Recruited from New York University 's MBA program , she rose within two years to head of production , overseeing such films as `` The Way We Were , '' `` E2 , '' `` Tommy '' and `` Shampoo . ''	she	125	E1	4	TRUE	E2	227	FALSE	unk
bnn969	The seventh child of a store owner in Aichi prefecture , Mr. E1 started out in the textile business . He spends most weekends flying his helicopter to one of her nine courses , he says , two of which were designed by E2 .	her	158	E1	61	TRUE	E2	217	FALSE	unk
bnn99	Mr. E1 , who had been with the company more than 20 years and had been president since 1984 , will act as a consultant to Hudson General . Her duties as chief executive will be assumed by E2 .	Her	139	E1	4	TRUE	E2	188	FALSE	unk
bnn370	Mr. E1 cites the case of a customer who wants to build a giant tourism complex in E2 and has been trying for eight years to get around Mexican restrictions on foreign ownership of beachfront property . He could develop the beach through a trust , but instead is trying have her grandson become a naturalized Mexican so his family gains direct control .	her	274	E1	4	TRUE	E2	82	FALSE	unk
bnn2261	Instead of hoping to sell his E1 stake at analysts ' estimated buy-out price of $ 80 a share , Mr. E2 is stuck with roughly 3.7 million USAir shares that cost her $ 45 , on average , but yesterday closed at 40 1\/2 , up 1\/4 , in New York Stock Exchange composite trading .	her	159	E1	30	FALSE	E2	99	TRUE	unk
bnn2573	In London , British Airways Chairman Lord E1 was quoted in the E2 as declaring she is `` not prepared to take my shareholders into a hasty deal . ''	she	79	E1	42	TRUE	E2	63	FALSE	unk
bnn372	Mr. E1 also predicted a half-point cut in the U.S. discount rate in the near future . Bolstering her argument , the E2 reported yesterday that new home sales for September were down 14 % from August 's revised 3.1 % fall .	her	97	E1	4	TRUE	E2	116	FALSE	unk
bnn1391	Mr. E1 added she was n't surprised E2 resigned , but his departure was `` nothing that we desired or worked for . ''	she	13	E1	4	TRUE	E2	35	FALSE	unk
bnn1883	Mr. E1 took the plaintiffs ' and other investors ' money to a meeting of the bank 's directors . `` She said he wanted to show the color of his money , '' recalls E2 .	She	100	E1	4	TRUE	E2	163	FALSE	unk
bnn2019	Mr. E1 , on the other hand , has fewer fans in E2 , and his detractors like to characterize him as something of a hot-tempered bully . She cut her hair .	She	135	E1	4	TRUE	E2	47	FALSE	unk
bnn731	If a president had a line-item veto and wanted to force her to support a controversial foreign-policy initiative , Rep. E1 says , the president could call and declare that he would single-handedly kill the E2 funds unless the congressman `` shapes up '' on the foreign-policy issue .	her	56	E1	120	TRUE	E2	206	FALSE	unk
bnn233	Mr. E1 suggested Democrats `` yielded a great deal '' on the size of the increase , but she cited concessions from the E2 on the training wage , which he said make it `` less harsh . ''	she	88	E1	4	TRUE	E2	119	FALSE	unk
bnn1098	For some at the SEC , an agency that covets its independence , Mr. E1 may be too much of a Washington insider . They note that she has adorned his office with five photos of George Bush , one of them featuring the First Dog , E2 .	she	127	E1	67	TRUE	E2	226	FALSE	unk
bnn1884	Mr. E1 took the plaintiffs ' and other investors ' money to a meeting of the bank 's directors . Wearing a business suit and western-style hat and boots , he opened up her briefcase and dumped $ 1 million in cash on a table in front of the directors , says E2 , the bank 's president .	her	168	E1	4	TRUE	E2	257	FALSE	unk
bnn2297	On his FEMA visit , Mr. E1 said that she hoped there would be `` less carping '' about the emergency office 's performance this time , adding that the agency `` took a hit '' for its reaction to E2 .	she	37	E1	24	TRUE	E2	195	FALSE	unk
bnn2601	One night both E1 's ghost and the shah 's ghost together caught E2 and threw her to the ground .	her	78	E1	15	FALSE	E2	65	TRUE	unk
bnn568	Mr. E1 knows a lot about aliens . She even had sex with one -- sort of , and not intentionally -- as readers learned in his `` Communion '' -LRB- a book recently described in the E2 as a `` nonfiction best seller '' -RRB- .	She	34	E1	4	TRUE	E2	179	FALSE	unk
bnn2106	Mr. E1 , who was chairman and the majority stockholder of Independent E2 , had relinquished her control in exchange for federal regulators ' agreement to drop their inquiry into his activities at another savings and loan .	her	92	E1	4	TRUE	E2	70	FALSE	unk
bnn2262	`` It does n't make sense to parachute out at this price , '' Mr. E1 says , though he has stopped her takeover talk and now commends E2 managers ' `` operating skills . ''	her	98	E1	66	TRUE	E2	133	FALSE	unk
bnn961	Mr. E1 considers himself a connoisseur of art . `` She makes snap judgments , '' says E2 , the art gallery 's manager and Mr. Morishita 's secretary for more than seven years .	She	51	E1	4	TRUE	E2	86	FALSE	unk
bnn114	Instead , Mr. E1 reminded her host , Chinese President Yang Shangkun , that Americans have n't forgiven E2 's leaders for the military assault of June 3-4 that killed hundreds , and perhaps thousands , of demonstrators .	her	26	E1	14	TRUE	E2	104	FALSE	unk
bnn657	Mr. E1 , in his affidavit , does n't mention any hugging or congratulating . She said he would contact E2 and Warner Brothers Chairman Robert Daly and that , in a conference call , the three agreed they could n't let the producers out of their contract .	She	77	E1	4	TRUE	E2	103	FALSE	unk
bnn1444	The subject of the movie `` E1 on Me , '' Mr. E2 controlled her school with a bullhorn and a baseball bat .	her	60	E1	28	FALSE	E2	46	TRUE	unk
bnn1474	In an interview , Mr. E1 said the subsidiary 's primary mission will be to make movies for E2 and to distribute them internationally . `` When that occurs , and when the time is right , we 'll release the films in the U.S. , '' she said , adding that Turner Pictures may develop such movies next year for domestic release in 1991 .	she	228	E1	22	TRUE	E2	91	FALSE	unk
bnn878	One Board member , E1 , was said to be so impatient with Mr. Dinkins 's behavior at many meetings that he withheld his support for Mr. E2 's mayoral effort until late in the primary campaign . `` I had some problem from time to time on the length of time he would take to make up her mind , '' Mr. Ferrer admits , but he maintains that he did n't delay his support of Mr. Dinkins and that he backs the Democratic candidate enthusiastically .	her	280	E1	19	FALSE	E2	135	TRUE	unk
bnn2002	`` This late in an expansion , '' the economy tends to veer off either into damaging inflation or into a recession , Mr. E1 says . The E2 's plan for a `` soft landing , '' she says , requires the Fed to navigate `` an ever-narrowing corridor . ''	she	173	E1	121	TRUE	E2	135	FALSE	unk
bnn2379	Mr. E1 say he does n't blame E2 . Buyers have to rely on a supplier `` continually upgrading and replacing the product , '' she says .	she	124	E1	4	TRUE	E2	29	FALSE	unk
bnn694	Why had Mr. E1 been called ? `` I told my driver , '' he said , `` that he was taking my butt to the E2 so they can ... '' whack , whack , whack her hand made vigorous spanking gestures on his left palm . ``	her	145	E1	12	TRUE	E2	101	FALSE	unk
bnn967	The seventh child of a store owner in Aichi prefecture , Mr. E1 started out in the textile business . She also owns courses in the U.S. and E2 .	She	102	E1	61	TRUE	E2	140	FALSE	unk
bnn282	In her affidavit , Mr. E1 accused E2 of having an `` antiSony , anti-Japanese bias '' and said that Mr. Ross had tried to talk him out of letting Sony buy CBS Records two years ago for that reason .	her	3	E1	23	TRUE	E2	34	FALSE	unk
bnn438	Though Mr. E1 has since sold her stake , E2 is moving to keep its institutional shareholders happy .	her	29	E1	11	TRUE	E2	41	FALSE	unk
bnn447	A E1 lawyer , Mr. E2 rowed religiously when he first got the machine , but , she complains , it left grease marks on his carpet , `` and it was boring .	she	77	E1	2	FALSE	E2	18	TRUE	unk
bnn2123	Mr. E1 complained that he was `` ticked off '' that Vice President Dan Quayle , who toured the earthquake site E2 , did n't schedule a private meeting with her .	her	156	E1	4	TRUE	E2	111	FALSE	unk
bnn368	For the E1 to stand a chance , Mr. E2 has to press on with an economic program that so far has succeeded in lowering inflation and providing moderate economic growth . But maintaining the key components of her strategy -- a stable exchange rate and high level of imports -- will consume enormous amounts of foreign exchange .	her	206	E1	8	FALSE	E2	35	TRUE	unk
bnn1968	Polls bear out this warning , but after a decade of increased E1 influence here , the new politics of abortion have contributed to a world turned upside down for Mr. E2 . Unless she closes the gap , Republicans risk losing not only the governorship but also the assembly next month .	she	178	E1	62	FALSE	E2	166	TRUE	unk
bnn826	If Mr. E1 wanted to be accepted by the people of E2 , she should have taken an advisory role instead of one of forcing his personal preferences .	she	54	E1	7	TRUE	E2	49	FALSE	unk
bnn974	Even in E1 , one of Tokyo 's richest neighborhoods , Mr. E2 's splashy brick manor -- one of some 10 houses he owns -- outshines the neighbors ' . A lavish white portico with a stained-glass window towers over the brick wall surrounding her property .	her	237	E1	8	FALSE	E2	57	TRUE	unk
bnn375	A separate inquiry by Chemical cleared Mr. E1 of allegations that she had been lavishly entertained by a E2 money broker .	she	66	E1	43	TRUE	E2	105	FALSE	unk
bnn1830	Mr. E1 said in the filing that she sold the stock to decrease his position in the E2 , Ill. , banking concern .	she	31	E1	4	TRUE	E2	82	FALSE	unk
bnn130	The decision to make the bid for Nekoosa , for example , was made only after all six members of Georgia-Pacific 's management committee signed onto the deal -- even though Mr. E1 knew she wanted to go after the company early on , says E2 .	she	184	E1	176	TRUE	E2	235	FALSE	unk
bnn373	Mr. E1 also predicted a half-point cut in the E2 discount rate in the near future . She expects such a cut `` because of problems in several sectors of the economy , particularly real estate and automobiles . ''	She	84	E1	4	TRUE	E2	46	FALSE	unk
bnn1906	Inspired by imports , Mr. E1 now makes fur muffs , hats and flings . Next she will be testing pictured embroidery -LRB- called kalega -RRB- made in the E2 .	she	74	E1	26	TRUE	E2	152	FALSE	unk
bnn2806	In the seven Supreme Court terms from the fall of 1962 through the spring of 1967 , the height of the E1 's power , Justice E2 cast only 25 dissenting votes in 555 cases decided by the court . Last term alone she cast 52 dissenting votes in 133 decisions , with the contentious flag-burning ruling as his only big victory .	she	209	E1	102	FALSE	E2	124	TRUE	unk
bnn2880	Commenting on the results for the quarter , Mr. E1 said the strength of the company 's domestic business came as `` a surprise '' to her , noting that sales `` in every region of the E2 exceeded our plan . ''	her	133	E1	48	TRUE	E2	183	FALSE	unk
bnn218	At the weatherbeaten E1 municipal stadium , Mr. E2 , the 45-year-old former Oriole , knows his power is n't what it used to be . Still , `` how sweet it is , '' she says , savoring the fat sound of the well-hit line drive that bounces off the center field wall .	she	161	E1	21	FALSE	E2	48	TRUE	unk
bnn237	Mr. E1 was scanning the heavens at the E2 observatory of the Lawrence Berkeley Laboratory in 1986 when his grant ran low and she was asked to switch to helping run the lab 's computers .	she	125	E1	4	TRUE	E2	39	FALSE	unk
bnn2594	Why , he used to lay in wait for Cap ; suddenly he 'd leap from behind some statue of E1 onto E2 's chest and grab him by the throat and choke her till he coughed up an additional $ 2 billion or so .	her	143	E1	86	FALSE	E2	94	TRUE	unk
bnn7	`` The theory is that E1 is the chief designer of the E2 , and without her it could not be completed .	her	71	E1	22	TRUE	E2	54	FALSE	unk
bnn1196	Mr. E1 recalls that in April 1986 , after CBS 's annual meeting in Philadelphia , she and E2 took the 90-minute train ride back to New York , and Mr. Pilson used this extended private audience to outline his ambitions .	she	82	E1	4	TRUE	E2	90	FALSE	unk
bnn427	The appeal of gold issues , Mr. E1 says , is that `` they 're a counter group . Her favorites are American E2 Resources Corp. , Echo Bay Mines Ltd. and Coeur d'Alene Mines Corp .	Her	80	E1	32	TRUE	E2	107	FALSE	unk
